beta,bin_left,bin_right,count,fraction
0.1,0.900034548211061,0.9050203005645756,4999,0.29671177587844255
0.1,0.9050203005645756,0.9100060529180903,549,0.03258547008547009
0.1,0.9100060529180903,0.914991805271605,470,0.027896486229819564
0.1,0.914991805271605,0.9199775576251196,676,0.040123456790123455
0.1,0.9199775576251196,0.9249633099786343,546,0.032407407407407406
0.1,0.9249633099786343,0.9299490623321489,158,0.009377967711301045
0.1,0.9299490623321489,0.9349348146856635,262,0.015550807217473884
0.1,0.9349348146856635,0.9399205670391781,318,0.018874643874643875
0.1,0.9399205670391781,0.9449063193926929,318,0.018874643874643875
0.1,0.9449063193926929,0.9498920717462075,7,0.0004154795821462488
0.1,0.9498920717462075,0.9548778240997221,1,5.935422602089269e-05
0.1,0.9548778240997221,0.9598635764532368,10,0.0005935422602089269
0.1,0.9598635764532368,0.9648493288067514,4,0.00023741690408357076
0.1,0.9648493288067514,0.9698350811602661,17,0.0010090218423551758
0.1,0.9698350811602661,0.9748208335137807,29,0.001721272554605888
0.1,0.9748208335137807,0.9798065858672954,31,0.0018399810066476734
0.1,0.9798065858672954,0.98479233822081,29,0.001721272554605888
0.1,0.98479233822081,0.9897780905743246,0,0.0
0.1,0.9897780905743246,0.9947638429278394,0,0.0
0.1,0.9947638429278394,0.999749595281354,0,0.0
0.1,0.999749595281354,1.0047353476348686,0,0.0
0.1,1.0047353476348686,1.0097210999883832,0,0.0
0.1,1.0097210999883832,1.0147068523418978,0,0.0
0.1,1.0147068523418978,1.0196926046954127,30,0.0017806267806267807
0.1,1.0196926046954127,1.0246783570489273,33,0.001958689458689459
0.1,1.0246783570489273,1.029664109402442,21,0.0012464387464387464
0.1,1.029664109402442,1.0346498617559565,14,0.0008309591642924976
0.1,1.0346498617559565,1.0396356141094711,17,0.0010090218423551758
0.1,1.0396356141094711,1.0446213664629858,4,0.00023741690408357076
0.1,1.0446213664629858,1.0496071188165006,9,0.0005341880341880342
0.1,1.0496071188165006,1.0545928711700152,4,0.00023741690408357076
0.1,1.0545928711700152,1.0595786235235298,156,0.009259259259259259
0.1,1.0595786235235298,1.0645643758770444,429,0.02546296296296296
0.1,1.0645643758770444,1.069550128230559,223,0.01323599240265907
0.1,1.069550128230559,1.0745358805840737,251,0.014897910731244064
0.1,1.0745358805840737,1.0795216329375883,447,0.026531339031339033
0.1,1.0795216329375883,1.084507385291103,668,0.039648622981956316
0.1,1.084507385291103,1.0894931376446177,471,0.027955840455840455
0.1,1.0894931376446177,1.0944788899981324,431,0.02558167141500475
0.1,1.0944788899981324,1.099464642351647,5216,0.30959164292497626
0.2,0.800069096422122,0.8100406011291513,4999,0.29671177587844255
0.2,0.8100406011291513,0.8200121058361806,549,0.03258547008547009
0.2,0.8200121058361806,0.8299836105432099,470,0.027896486229819564
0.2,0.8299836105432099,0.8399551152502391,676,0.040123456790123455
0.2,0.8399551152502391,0.8499266199572685,546,0.032407407407407406
0.2,0.8499266199572685,0.8598981246642978,158,0.009377967711301045
0.2,0.8598981246642978,0.8698696293713271,262,0.015550807217473884
0.2,0.8698696293713271,0.8798411340783564,318,0.018874643874643875
0.2,0.8798411340783564,0.8898126387853856,318,0.018874643874643875
0.2,0.8898126387853856,0.899784143492415,7,0.0004154795821462488
0.2,0.899784143492415,0.9097556481994442,1,5.935422602089269e-05
0.2,0.9097556481994442,0.9197271529064736,10,0.0005935422602089269
0.2,0.9197271529064736,0.9296986576135029,4,0.00023741690408357076
0.2,0.9296986576135029,0.9396701623205321,17,0.0010090218423551758
0.2,0.9396701623205321,0.9496416670275615,29,0.001721272554605888
0.2,0.9496416670275615,0.9596131717345908,31,0.0018399810066476734
