beta,timestep_ns,src,dst,baseline_path,da_path,path_changed,baseline_hop_count,da_hop_count,baseline_total_cost_m,da_modified_total_cost_m,baseline_path_da_modified_cost_m,da_path_baseline_cost_m,baseline_physical_rtt_ms,da_physical_rtt_ms
0.01,30000000000,441,436,441->241->240->239->238->237->224->223->222->436,441->241->240->239->238->237->224->223->222->436,False,9,9,25630620.094049,25816645.88567604,25816645.88567604,25630620.094049,170.9890920207806,170.9890920207806
0.01,30000000000,436,441,436->222->223->224->237->238->239->240->241->441,436->222->223->224->237->238->239->240->241->441,False,9,9,25630620.094049,25444616.007291544,25444616.007291544,25630620.094049,170.9890920207806,170.9890920207806
0.01,30000000000,366,367,366->209->196->183->170->157->144->131->118->105->104->367,366->209->196->183->170->157->144->131->118->105->104->367,False,11,11,23745448.064263113,23745629.89664347,23745629.89664347,23745448.064263113,158.41257797261275,158.41257797261275
0.01,30000000000,367,366,367->104->105->118->131->144->157->170->183->196->209->366,367->104->105->118->131->144->157->170->183->196->209->366,False,11,11,23745448.064263117,23730701.908668894,23730701.908668894,23745448.064263117,158.41257797261275,158.41257797261275
0.01,30000000000,364,440,364->183->182->194->193->192->191->178->165->152->139->126->113->100->87->86->440,364->183->182->194->193->192->191->178->165->152->139->126->113->100->87->86->440,False,16,16,38464941.85976824,38646567.97927031,38646567.97927031,38464941.85976824,256.61047056606236,256.61047056606236
0.01,30000000000,440,364,440->86->87->100->113->126->139->152->165->178->191->192->193->194->182->183->364,440->86->87->100->113->126->139->152->165->178->191->192->193->194->182->183->364,False,16,16,38464941.859768234,38276949.06834056,38276949.06834056,38464941.859768234,256.6104705660623,256.6104705660623
0.01,40000000000,399,447,399->19->18->17->16->29->42->55->68->81->94->107->120->133->132->131->130->447,399->19->18->17->16->29->42->55->68->81->94->107->120->133->132->131->130->447,False,17,17,40268770.26817712,40515965.28782642,40515965.28782642,40268770.26817712,268.644318384935,268.644318384935
0.01,40000000000,447,399,447->130->131->132->133->120->107->94->81->68->55->42->29->16->17->18->19->399,447->130->131->132->133->120->107->94->81->68->55->42->29->16->17->18->19->399,False,17,17,40268770.268177114,40022869.055084825,40022869.055084825,40268770.268177114,268.64431838493493,268.64431838493493
0.01,40000000000,425,410,425->187->200->213->226->239->240->241->410,425->187->200->213->226->239->240->241->410,False,8,8,18677766.73676308,18626308.18816655,18626308.18816655,18677766.73676308,124.60464723741035,124.60464723741035
0.01,40000000000,410,425,410->241->240->239->226->213->200->187->425,410->241->240->239->226->213->200->187->425,False,8,8,18677766.73676308,18736049.57295982,18736049.57295982,18677766.73676308,124.60464723741035,124.60464723741035
0.01,40000000000,386,424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,False,13,13,29183407.39420388,29081967.41148207,29081967.41148207,29183407.39420388,194.69073764493356,194.69073764493356
0.01,40000000000,424,386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,False,13,13,29183407.394203883,29285925.20061071,29285925.20061071,29183407.394203883,194.69073764493356,194.69073764493356
0.01,40000000000,355,401,355->169->181->168->155->142->129->116->103->90->77->64->51->38->401,355->169->181->168->155->142->129->116->103->90->77->64->51->38->401,False,14,14,32256508.22774978,32274149.038739774,32274149.038739774,32256508.22774978,215.19225962482204,215.19225962482204
0.01,40000000000,401,355,401->38->51->64->77->90->103->116->129->142->155->168->181->169->355,401->38->51->64->77->90->103->116->129->142->155->168->181->169->355,False,14,14,32256508.227749784,32251453.43545262,32251453.43545262,32256508.227749784,215.19225962482207,215.19225962482207
0.01,40000000000,412,406,412->169->170->183->196->209->406,412->169->170->183->196->209->406,False,6,6,12848396.24311393,12838776.106149916,12838776.106149916,12848396.24311393,85.71527335163267,85.71527335163267
0.01,40000000000,406,412,406->209->196->183->170->169->412,406->209->196->183->170->169->412,False,6,6,12848396.24311393,12852543.937606994,12852543.937606994,12848396.24311393,85.71527335163267,85.71527335163267
0.01,40000000000,432,446,432->31->44->446,432->31->44->446,False,3,3,4631584.447231412,4618479.848188896,4618479.848188896,4631584.447231412,30.898605509491585,30.898605509491585
0.01,40000000000,446,432,446->44->31->432,446->44->31->432,False,3,3,4631584.447231412,4646407.244031701,4646407.244031701,4631584.447231412,30.898605509491585,30.898605509491585
0.01,40000000000,394,361,394->31->18->361,394->31->18->361,False,3,3,5161574.829526668,5141598.744680205,5141598.744680205,5161574.829526668,34.434320756172376,34.434320756172376
0.01,40000000000,361,394,361->18->31->394,361->18->31->394,False,3,3,5161574.829526668,5183269.596899941,5183269.596899941,5161574.829526668,34.434320756172376,34.434320756172376
0.01,40000000000,441,436,441->241->240->239->238->237->224->223->222->436,441->241->240->239->238->237->224->223->222->436,False,9,9,25655258.2287413,25841300.720397778,25841300.720397778,25655258.2287413,171.15345996290074,171.15345996290074
0.01,40000000000,436,441,436->222->223->224->237->238->239->240->241->441,436->222->223->224->237->238->239->240->241->441,False,9,9,25655258.228741303,25469274.25690756,25469274.25690756,25655258.228741303,171.15345996290077,171.15345996290077
0.01,40000000000,366,367,366->209->196->183->170->157->144->131->118->105->104->367,366->209->196->183->170->157->144->131->118->105->104->367,False,11,11,23656716.823321465,23656950.06611016,23656950.06611016,23656716.823321465,157.82062685060254,157.82062685060254
0.01,40000000000,367,366,367->104->105->118->131->144->157->170->183->196->209->366,367->104->105->118->131->144->157->170->183->196->209->366,False,11,11,23656716.823321458,23641831.849507466,23641831.849507466,23656716.823321458,157.82062685060248,157.82062685060248
0.01,40000000000,364,440,364->18->19->20->21->34->47->60->73->86->440,364->18->19->20->21->34->47->60->73->86->440,False,10,10,24020324.32305553,23945436.223914534,23945436.223914534,24020324.32305553,160.24635498372368,160.24635498372368
0.01,40000000000,440,364,440->86->73->60->47->34->21->20->19->18->364,440->86->73->60->47->34->21->20->19->18->364,False,10,10,24020324.32305553,24085872.113586657,24085872.113586657,24020324.32305553,160.24635498372368,160.24635498372368
0.01,50000000000,399,447,399->32->31->30->29->42->55->68->81->94->107->120->133->132->131->130->447,399->32->31->30->29->42->55->68->81->94->107->120->133->132->131->130->447,False,16,16,38228815.07289273,38456106.98812626,38456106.98812626,38228815.07289273,255.03520220573884,255.03520220573884
0.01,50000000000,447,399,447->130->131->132->133->120->107->94->81->68->55->42->29->30->31->32->399,447->130->131->132->133->120->107->94->81->68->55->42->29->30->31->32->399,False,16,16,38228815.07289274,38002972.91727242,38002972.91727242,38228815.07289274,255.0352022057389,255.0352022057389
0.01,50000000000,425,410,425->187->200->213->226->239->240->241->410,425->187->200->213->226->239->240->241->410,False,8,8,18689038.64730432,18637594.42955806,18637594.42955806,18689038.64730432,124.67984533022722,124.67984533022722
0.01,50000000000,410,425,410->241->240->239->226->213->200->187->425,410->241->240->239->226->213->200->187->425,False,8,8,18689038.647304315,18747243.161661565,18747243.161661565,18689038.647304315,124.6798453302272,124.6798453302272
0.01,50000000000,386,424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,False,13,13,29174787.66537478,29073485.163061254,29073485.163061254,29174787.66537478,194.6332330039789,194.6332330039789
0.01,50000000000,424,386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,False,13,13,29174787.66537478,29277431.612375222,29277431.612375222,29174787.66537478,194.6332330039789,194.6332330039789
0.01,50000000000,355,401,355->169->181->168->155->142->129->116->103->90->77->64->51->38->401,355->169->181->168->155->142->129->116->103->90->77->64->51->38->401,False,14,14,32323971.48970329,32341366.04661392,32341366.04661392,32323971.48970329,215.64232606347483,215.64232606347483
0.01,50000000000,401,355,401->38->51->64->77->90->103->116->129->142->155->168->181->169->355,401->38->51->64->77->90->103->116->129->142->155->168->181->169->355,False,14,14,32323971.489703294,32318829.10744252,32318829.10744252,32323971.489703294,215.64232606347483,215.64232606347483
0.01,50000000000,412,406,412->169->170->183->196->209->406,412->169->170->183->196->209->406,False,6,6,12771314.455748219,12761642.984010411,12761642.984010411,12771314.455748219,85.2010390184547,85.2010390184547
0.01,50000000000,406,412,406->209->196->183->170->169->412,406->209->196->183->170->169->412,False,6,6,12771314.455748219,12775482.793477122,12775482.793477122,12771314.455748219,85.2010390184547,85.2010390184547
0.01,50000000000,432,446,432->31->44->446,432->31->44->446,False,3,3,4614684.886427056,4601584.938634139,4601584.938634139,4614684.886427056,30.78586377531256,30.78586377531256
0.01,50000000000,446,432,446->44->31->432,446->44->31->432,False,3,3,4614684.886427056,4629486.967788896,4629486.967788896,4614684.886427056,30.78586377531256,30.78586377531256
0.01,50000000000,394,361,394->31->18->361,394->31->18->361,False,3,3,5120720.608229354,5100725.224032709,5100725.224032709,5120720.608229354,34.1617707289311,34.1617707289311
0.01,50000000000,361,394,361->18->31->394,361->18->31->394,False,3,3,5120720.608229354,5142416.199297696,5142416.199297696,5120720.608229354,34.1617707289311,34.1617707289311
0.01,50000000000,441,436,441->241->240->239->238->237->224->223->222->436,441->241->240->239->238->237->224->223->222->436,False,9,9,25687066.452633094,25873125.47100417,25873125.47100417,25687066.452633094,171.36566159134725,171.36566159134725
0.01,50000000000,436,441,436->222->223->224->237->238->239->240->241->441,436->222->223->224->237->238->239->240->241->441,False,9,9,25687066.452633098,25501103.370817672,25501103.370817672,25687066.452633098,171.36566159134728,171.36566159134728
0.01,50000000000,366,367,366->209->196->183->170->157->144->131->118->105->104->367,366->209->196->183->170->157->144->131->118->105->104->367,False,11,11,23575258.51766868,23575546.7569158,23575546.7569158,23575258.51766868,157.2771955301736,157.2771955301736
0.01,50000000000,367,366,367->104->105->118->131->144->157->170->183->196->209->366,367->104->105->118->131->144->157->170->183->196->209->366,False,11,11,23575258.51766868,23560236.763528533,23560236.763528533,23575258.51766868,157.2771955301736,157.2771955301736
0.01,50000000000,364,440,364->18->19->20->21->34->47->60->73->86->440,364->18->19->20->21->34->47->60->73->86->440,False,10,10,23989446.939080067,23914524.01490221,23914524.01490221,23989446.939080067,160.04036325076643,160.04036325076643
