timestep_ns,from_sat,to_sat,alpha
0,174,187,-0.8777996988569859
0,187,174,0.8058755475750142
0,175,176,0.9688037630847044
0,176,175,-0.9691139274593095
0,175,188,-0.8081557216922731
0,188,175,0.7912102134078325
0,176,177,0.9691736522331954
0,177,176,-0.9700931855598289
0,176,189,-0.7892271512627103
0,189,176,0.8384456067448794
0,177,178,0.9701170716276674
0,178,177,-0.9706501002221279
0,177,190,-0.8411406370117993
0,190,177,0.9227254648299995
0,178,179,0.9708358417034735
0,179,178,-0.9703101887846385
0,178,191,-0.9454923793532741
0,191,178,0.9883887520655542
0,179,180,0.9707074157657333
0,180,179,-0.9693725276263346
0,179,192,-0.9882565375856764
0,192,179,0.9457140109951718
0,180,181,0.9698393698970311
0,181,180,-0.9686373538673385
0,180,193,-0.9225687145273473
0,193,180,0.8413743684031314
0,169,181,-0.9687264891890837
0,181,169,0.9689633807342475
0,181,194,-0.8382702907022903
0,194,181,0.7894841119262451
0,182,183,0.9687646855787077
0,183,182,-0.969086887168481
0,182,195,0.6120168352711335
0,195,182,-0.5919696815246556
0,183,184,0.9690913236614699
0,184,183,-0.9700231377345377
0,183,196,0.7258857554305072
0,196,183,-0.6390046310013202
0,184,185,0.9700074053561688
0,185,184,-0.9705406753791909
0,184,197,0.9065001765271439
0,197,184,-0.8138245619894119
0,185,186,0.9707196343017606
0,186,185,-0.9701947160430259
0,185,198,0.9891197827928934
0,198,185,-0.9890328800561096
0,186,187,0.970615465721173
0,187,186,-0.9692728909570846
0,186,199,0.8138646012833501
0,199,186,-0.9063326812549028
0,187,188,0.9697926007795741
0,188,187,-0.9685803978444896
0,187,200,0.6390889338351255
0,200,187,-0.7257218429732496
0,188,189,0.9689667264371934
0,189,188,-0.968725469166095
0,188,201,0.5921260845731261
0,201,188,-0.611955097057956
0,189,190,0.9688753879082865
0,190,189,-0.9695999953706286
0,189,202,0.6576782174616342
0,202,189,-0.5996358413446274
0,190,191,0.9696132828124429
0,191,190,-0.9704696113484996
0,190,203,0.8127063403873616
0,203,190,-0.7115994242740735
0,191,192,0.970557273188304
0,192,191,-0.9705909652609623
0,191,204,0.9789599438217143
0,204,191,-0.9218323397298694
0,192,193,0.9708902432302041
0,193,192,-0.9698705517831862
0,192,205,0.9218386412037378
0,205,192,-0.9788223763020136
0,193,194,0.9703271627370594
0,194,193,-0.9689246513415647
0,193,206,0.7116248211832563
0,206,193,-0.8125759734718794
0,182,194,-0.9685577191360422
0,194,182,0.9693449762034354
0,194,207,0.5996735988121128
0,207,194,-0.6575319326277802
0,195,196,0.9688207121035354
0,196,195,-0.9695539126285894
0,195,208,-0.7910346634687359
0,208,195,0.8084007671974801
0,196,197,0.9695204062424277
0,197,196,-0.9703772964371254
0,196,209,-0.8056661429989419
0,209,196,0.8779535318696812
0,197,198,0.970440165444305
0,198,197,-0.9704741833351656
0,197,210,-0.8917457238192804
0,210,197,0.9638505138622306
0,198,199,0.9707831846215865
0,199,198,-0.9697604058625893
0,198,211,-0.9825995450608939
0,211,198,0.9827604491545128
0,199,200,0.9702591225181476
0,200,199,-0.9688480349828287
0,199,212,-0.9637293223633364
0,212,199,0.8919431163337579
0,200,201,0.969324907142417
0,201,200,-0.9685346830577529
0,200,213,-0.8778010422841894
0,213,200,0.805877837169741
0,201,202,0.9688037630847256
0,202,201,-0.9691139274592939
0,201,214,-0.8081577411545678
0,214,201,0.7912124460754288
0,202,203,0.9691736588896922
0,203,202,-0.9700931921850414
0,202,215,-0.7892294945808364
0,215,202,0.838447326197871
0,203,204,0.9701170726624301
0,204,203,-0.9706501012892265
0,203,216,-0.8411425130340202
0,216,203,0.9227262904364724
0,204,205,0.9708358387230479
0,205,204,-0.9703101857773733
0,204,217,-0.9454930351851748
0,217,204,0.9883911806313274
0,205,206,0.9707074133075749
0,206,205,-0.9693725251810208
0,205,218,-0.9882565855446033
0,218,205,0.9457146661103237
0,206,207,0.969839369897039
0,207,206,-0.9686373538673418
0,206,219,-0.922569595585986
0,219,206,0.8413763686161121
0,195,207,-0.9687264891891068
0,207,195,0.9689633807341913
0,207,220,-0.8382719032996231
0,220,207,0.7895467498654689
0,208,209,0.9687646855787306
0,209,208,-0.9690868871685113
0,208,221,0.6120133430063778
0,221,208,-0.5921440446388995
0,209,210,0.9690913236614347
0,210,209,-0.9700231377345476
0,209,222,0.7258829867657758
0,222,209,-0.6391319323663234
0,210,211,0.9700074053561697
0,211,210,-0.9705407334479328
0,210,223,0.9064988836776233
0,223,210,-0.8138217985735117
0,211,212,0.9707196910567388
0,212,211,-0.9701952270271176
0,211,224,0.9891189629286383
0,224,211,-0.9890327033692605
0,212,213,0.9706159716757039
0,213,212,-0.9692728909570839
0,212,225,0.8138735736443619
0,225,212,-0.9063313879820303
0,213,214,0.969792600779576
0,214,213,-0.9685803978444707
0,213,226,0.6390848116674261
0,226,213,-0.7256842906397732
0,214,215,0.9689667264372213
0,215,214,-0.9687254691660869
0,214,227,0.5921219844500174
0,227,214,-0.611906276450648
0,215,216,0.9688753879082916
0,216,215,-0.9695999953706457
0,215,228,0.6576748193492801
0,228,215,-0.5996316988421456
0,216,217,0.9696132803583626
0,217,216,-0.9704685987372129
0,216,229,0.812704058368679
0,229,216,-0.7115956788298009
0,217,218,0.9705562657007314
0,218,217,-0.9705909622478263
0,217,230,0.9789525175783584
0,230,217,-0.9218259272173788
0,218,219,0.9708902432302043
0,219,218,-0.9698705517831911
0,218,231,0.9218373942781976
0,231,218,-0.9788221182338276
0,219,220,0.9703271560707444
0,220,219,-0.9689183076573062
0,219,232,0.7116210754191201
0,232,219,-0.8125242955925536
0,208,220,-0.9685577326265813
0,220,208,0.9693386526845598
0,220,233,0.5995886814522634
0,233,220,-0.6573621818867318
0,221,222,0.9688359073745565
0,222,221,-0.9695629173109482
0,221,234,-0.7909026979580769
0,234,221,0.8082704100468074
0,222,223,0.9695294149555463
0,223,222,-0.970377294035118
0,222,235,-0.8055671836760115
0,235,222,0.8779532800644778
0,223,224,0.970440165303907
0,224,223,-0.9704741908286385
0,223,236,-0.8917455445082171
0,236,223,0.9638650437484136
0,224,225,0.9707831919045236
0,225,224,-0.9697604059112453
0,224,237,-0.982599636238722
0,237,224,0.9827604317762915
0,225,226,0.9702591225181448
0,226,225,-0.9688448644460561
